id,name,category,latitude,longitude
1,Patient First,Health,37.6497156,-77.6136393
2,Bon Secours Urgent Care,Health,37.6678724,-77.460347
3,Bon Secours St. Joseph's Outreach Clinic,Health,37.6304243,-77.459356
4,Parham Surgery Center,Health,37.6305856,-77.5236314
5,Glenburnie Rehabilitation and Nursing Center,Health,37.5882253,-77.5043375
6,Physical Medical Center,Health,37.5927029,-77.506568
7,Patient First,Health,37.639921,-77.4921669
8,VCU Health Short Pump Pavilion,Health,37.6573754,-77.6260896
9,Bon Secours Patterson Patient Center,Health,37.5967432,-77.5918315
10,Richmond Nephrology Associates - West Broad,Health,37.6085477,-77.5188705
11,RVA Pediatrics,Health,37.6199146,-77.6122452
12,Hanger Clinic,Health,37.6199276,-77.5230504
13,Fresenus Kidney Care,Health,37.6325709,-77.5097866
14,Henrico County Health Clinic,Health,37.6278001,-77.5103496
15,Elevate Dermatology & Plastic Surgery,Health,37.6239497,-77.5259803
16,,Health,37.6262555,-77.5305978
17,Laburnum Medical Center,Health,37.52564,-77.3554008
18,MedExpress,Health,37.5449807,-77.3674939
19,Virginia Oral & Facial Surgery,Health,37.6581712,-77.6275707
20,Kitto Plastic Surgery,Health,37.6563761,-77.619582
21,Zelazny Family Dentistry,Health,37.6746257,-77.46274
22,"Drs. LeRoux, Daylor, Poling, Michaels and Matsko--Optometrists",Health,37.6495725,-77.5777678
23,Dominion Health Education,Health,37.5189129,-77.353066
24,Home Care Assistance,Health,37.6050836,-77.5920587
25,Pediatric Center,Health,37.6235292,-77.6225358
26,The Little Clinic,Health,37.6375248,-77.514188
27,Humana,Health,37.5791948,-77.3965475
28,Spinal Correction Center of Richmond,Health,37.5952798,-77.5654943
29,BetterMed,Health,37.5854316,-77.4988122
30,Pivot Physical Therapy,Health,37.6710101,-77.4619144
31,APEX MD,Health,37.6814996,-77.5875823
32,West End Dermatology,Health,37.6413091,-77.569834
33,Concentra Urgent Care,Health,37.6452782,-77.5674382
34,Pediatric Associates of Richmond,Health,37.5927979,-77.5322273
35,Chronic Care of Richmond & Regenerative Medicine,Health,37.6272553,-77.5527877
36,Pulmonary Associates of Richmond,Health,37.6012449,-77.5134702
37,American Family Care,Health,37.6479037,-77.5856268
38,Tuckahoe Orthopaedics,Health,37.6581982,-77.6368987
39,OrthoVirginia,Health,37.66143,-77.6375748
40,CareNow Urgent Care,Health,37.6609512,-77.6383007
41,DaVita Dialysis,Health,37.5285415,-77.3604374
42,Glenside Medical Association,Health,37.6146893,-77.4981299
43,Vera Whole Health - Short Pump,Health,37.6495117,-77.6073361
44,CareNow Urgent Care,Health,37.6000446,-77.5648274
45,WEN Acupuncture & Wellness,Health,37.6433316,-77.5597035
46,LightRx,Health,37.652797,-77.6220581
47,DWH Health & Wellness Med Spa,Health,37.65207,-77.6209307
48,Local Infusion,Health,37.6478508,-77.5842599
49,Commonwealth Dermatology,Health,37.6021624,-77.5267731
50,Hear Virginia,Health,37.5838039,-77.4956933
51,CrossOver Healthcare Ministry,Health,37.6025544,-77.5652485
