"Label (Grouping)","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error"
"Total:","141,134","±1,696"
"    Owner occupied:","89,109","±3,072"
"        No vehicle available","1,668","±714"
"        1 vehicle available","23,234","±2,548"
"        2 vehicles available","38,639","±2,277"
"        3 vehicles available","17,048","±2,155"
"        4 vehicles available","6,283","±1,097"
"        5 or more vehicles available","2,237","±750"
"    Renter occupied:","52,025","±3,077"
"        No vehicle available","7,156","±1,695"
"        1 vehicle available","26,016","±2,934"
"        2 vehicles available","13,932","±2,322"
"        3 vehicles available","4,262","±1,519"
"        4 vehicles available","614","±375"
"        5 or more vehicles available","45","±74"
